"filename", "language", "HTML", "PostCSS", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\Users\user\Desktop\finango\README.md", "Markdown", 0, 0, 0, 51, 0, 31, 82
"c:\Users\user\Desktop\finango\css\educfinanceira.css", "PostCSS", 0, 143, 0, 0, 1, 24, 168
"c:\Users\user\Desktop\finango\css\finango.css", "PostCSS", 0, 254, 0, 0, 10, 40, 304
"c:\Users\user\Desktop\finango\css\metas.css", "PostCSS", 0, 159, 0, 0, 2, 23, 184
"c:\Users\user\Desktop\finango\css\style.css", "PostCSS", 0, 162, 0, 0, 2, 27, 191
"c:\Users\user\Desktop\finango\css\transacoes.css", "PostCSS", 0, 131, 0, 0, 4, 20, 155
"c:\Users\user\Desktop\finango\educfinanceira.html", "HTML", 69, 0, 0, 0, 0, 6, 75
"c:\Users\user\Desktop\finango\finango.html", "HTML", 53, 0, 0, 0, 4, 10, 67
"c:\Users\user\Desktop\finango\html\ef.html", "HTML", 70, 0, 0, 0, 0, 12, 82
"c:\Users\user\Desktop\finango\html\gastos.html", "HTML", 70, 0, 0, 0, 0, 14, 84
"c:\Users\user\Desktop\finango\html\investimentos.html", "HTML", 74, 0, 0, 0, 0, 12, 86
"c:\Users\user\Desktop\finango\html\orcamento.html", "HTML", 101, 0, 0, 0, 0, 11, 112
"c:\Users\user\Desktop\finango\html\organizacao.html", "HTML", 82, 0, 0, 0, 0, 12, 94
"c:\Users\user\Desktop\finango\html\planejamento.html", "HTML", 69, 0, 0, 0, 0, 12, 81
"c:\Users\user\Desktop\finango\html\renda.html", "HTML", 70, 0, 0, 0, 0, 12, 82
"c:\Users\user\Desktop\finango\html\reserva.html", "HTML", 66, 0, 0, 0, 0, 8, 74
"c:\Users\user\Desktop\finango\index.html", "HTML", 38, 0, 0, 0, 0, 10, 48
"c:\Users\user\Desktop\finango\js\educfinanceira.js", "JavaScript", 0, 0, 32, 0, 1, 8, 41
"c:\Users\user\Desktop\finango\js\finango.js", "JavaScript", 0, 0, 22, 0, 1, 5, 28
"c:\Users\user\Desktop\finango\js\metas.js", "JavaScript", 0, 0, 92, 0, 10, 23, 125
"c:\Users\user\Desktop\finango\js\script.js", "JavaScript", 0, 0, 31, 0, 1, 6, 38
"c:\Users\user\Desktop\finango\js\transacoes.js", "JavaScript", 0, 0, 59, 0, 2, 13, 74
"c:\Users\user\Desktop\finango\metas.html", "HTML", 49, 0, 0, 0, 0, 8, 57
"c:\Users\user\Desktop\finango\scripts\ef.js", "JavaScript", 0, 0, 5, 0, 0, 0, 5
"c:\Users\user\Desktop\finango\scripts\gastos.js", "JavaScript", 0, 0, 5, 0, 0, 0, 5
"c:\Users\user\Desktop\finango\scripts\investimentos.js", "JavaScript", 0, 0, 5, 0, 0, 0, 5
"c:\Users\user\Desktop\finango\scripts\orcamentos.js", "JavaScript", 0, 0, 5, 0, 0, 0, 5
"c:\Users\user\Desktop\finango\scripts\organizacao.js", "JavaScript", 0, 0, 5, 0, 0, 0, 5
"c:\Users\user\Desktop\finango\scripts\planejamento.js", "JavaScript", 0, 0, 5, 0, 0, 0, 5
"c:\Users\user\Desktop\finango\scripts\renda.js", "JavaScript", 0, 0, 5, 0, 0, 0, 5
"c:\Users\user\Desktop\finango\scripts\reserva.js", "JavaScript", 0, 0, 5, 0, 0, 0, 5
"c:\Users\user\Desktop\finango\styles\ef.css", "PostCSS", 0, 91, 0, 0, 0, 18, 109
"c:\Users\user\Desktop\finango\styles\gastos.css", "PostCSS", 0, 91, 0, 0, 0, 18, 109
"c:\Users\user\Desktop\finango\styles\investimentos.css", "PostCSS", 0, 87, 0, 0, 0, 15, 102
"c:\Users\user\Desktop\finango\styles\orcamento.css", "PostCSS", 0, 126, 0, 0, 0, 23, 149
"c:\Users\user\Desktop\finango\styles\organizacao.css", "PostCSS", 0, 87, 0, 0, 0, 18, 105
"c:\Users\user\Desktop\finango\styles\planejamento.css", "PostCSS", 0, 87, 0, 0, 0, 15, 102
"c:\Users\user\Desktop\finango\styles\renda.css", "PostCSS", 0, 87, 0, 0, 0, 15, 102
"c:\Users\user\Desktop\finango\styles\reserva.css", "PostCSS", 0, 87, 0, 0, 0, 17, 104
"c:\Users\user\Desktop\finango\transacoes.html", "HTML", 47, 0, 0, 0, 0, 12, 59
"Total", "-", 858, 1592, 276, 51, 38, 498, 3313
